id,question,url,model_answer,model_name
293832,How many toothbrushes are there?,http://images.cocodataset.org/val2014/COCO_val2014_000000293832.jpg,6,paligemma
129592,Is this a typical US hydrant?,http://images.cocodataset.org/val2014/COCO_val2014_000000129592.jpg,yes,paligemma
13729,What color is her hair?,http://images.cocodataset.org/val2014/COCO_val2014_000000013729.jpg,brown,paligemma
379086,Are the lights on?,http://images.cocodataset.org/val2014/COCO_val2014_000000379086.jpg,yes,paligemma
96618,Does the dog like outside?,http://images.cocodataset.org/val2014/COCO_val2014_000000096618.jpg,yes,paligemma
28682,Is there a fruit basket on the counter?,http://images.cocodataset.org/val2014/COCO_val2014_000000028682.jpg,no,paligemma
137727,What is being loaded onto the train?,http://images.cocodataset.org/val2014/COCO_val2014_000000137727.jpg,luggage,paligemma
381842,Does the name of the street relate to Greek pleasure?,http://images.cocodataset.org/val2014/COCO_val2014_000000381842.jpg,no,paligemma
449522,What are the people eating?,http://images.cocodataset.org/val2014/COCO_val2014_000000449522.jpg,sandwich,paligemma
304186,What color is the game controller?,http://images.cocodataset.org/val2014/COCO_val2014_000000304186.jpg,white,paligemma
458467,What are the animals eating?,http://images.cocodataset.org/val2014/COCO_val2014_000000458467.jpg,leaves,paligemma
503978,Can a vegan eat this food?,http://images.cocodataset.org/val2014/COCO_val2014_000000503978.jpg,yes,paligemma
121849,Is the child using the bathroom?,http://images.cocodataset.org/val2014/COCO_val2014_000000121849.jpg,no,paligemma
499281,Where is microwave?,http://images.cocodataset.org/val2014/COCO_val2014_000000499281.jpg,above stove,paligemma
155897,Is a healthy food?,http://images.cocodataset.org/val2014/COCO_val2014_000000155897.jpg,yes,paligemma
180739,How tall is the wave?,http://images.cocodataset.org/val2014/COCO_val2014_000000180739.jpg,short,paligemma
57760,Do you see any motorized vehicles?,http://images.cocodataset.org/val2014/COCO_val2014_000000057760.jpg,no,paligemma
422383,Is there water in this photo?,http://images.cocodataset.org/val2014/COCO_val2014_000000422383.jpg,no,paligemma
425898,What phone number is on the sign?,http://images.cocodataset.org/val2014/COCO_val2014_000000425898.jpg,765-4201,paligemma
74037,What are on the heads?,http://images.cocodataset.org/val2014/COCO_val2014_000000074037.jpg,horns,paligemma
342100,Are there any baby horses?,http://images.cocodataset.org/val2014/COCO_val2014_000000342100.jpg,yes,paligemma
404462,What is reflecting in the mirror?,http://images.cocodataset.org/val2014/COCO_val2014_000000404462.jpg,wall,paligemma
131152,Are these people wet?,http://images.cocodataset.org/val2014/COCO_val2014_000000131152.jpg,yes,paligemma
363241,Should the child eat what is in the pan?,http://images.cocodataset.org/val2014/COCO_val2014_000000363241.jpg,yes,paligemma
436865,Are his spots black?,http://images.cocodataset.org/val2014/COCO_val2014_000000436865.jpg,yes,paligemma
438269,Is this bird running?,http://images.cocodataset.org/val2014/COCO_val2014_000000438269.jpg,no,paligemma
180521,What color hair does the girl in the red shirt have?,http://images.cocodataset.org/val2014/COCO_val2014_000000180521.jpg,blonde,paligemma
